Order,Year,Month,Tag,Pre
303,1926,3,192603,1471
304,1926,4,192604,2320
305,1926,5,192605,2663
306,1926,6,192606,2374
307,1926,7,192607,1814
308,1926,8,192608,1797
309,1926,9,192609,1161
310,1926,10,192610,1268
311,1926,11,192611,507
312,1926,12,192612,377
313,1927,1,192701,146
314,1927,2,192702,999
315,1927,3,192703,1971
316,1927,4,192704,1677
317,1927,5,192705,3933
318,1927,6,192706,2493
319,1927,7,192707,2272
320,1927,8,192708,2113
321,1927,9,192709,1484
322,1927,10,192710,545
323,1927,11,192711,664
324,1927,12,192712,341
325,1928,1,192801,589
326,1928,2,192802,674
327,1928,3,192803,1119
328,1928,4,192804,1235
329,1928,5,192805,3156
330,1928,6,192806,2398
331,1928,7,192807,1041
332,1928,8,192808,2366
333,1928,9,192809,304
334,1928,10,192810,56
335,1928,11,192811,356
336,1928,12,192812,34
337,1929,1,192901,225
338,1929,2,192902,681
339,1929,3,192903,250
340,1929,4,192904,1141
341,1929,5,192905,2481
342,1929,6,192906,2161
343,1929,7,192907,2288
344,1929,8,192908,1896
345,1929,9,192909,977
346,1929,10,192910,17
347,1929,11,192911,453
348,1929,12,192912,394
349,1930,1,193001,658
350,1930,2,193002,551
351,1930,3,193003,1907
352,1930,4,193004,1381
353,1930,5,193005,2441
354,1930,6,193006,1797
355,1930,7,193007,2168
356,1930,8,193008,1453
357,1930,9,193009,1489
358,1930,10,193010,691
359,1930,11,193011,316
360,1930,12,193012,540
361,1931,1,193101,144
362,1931,2,193102,202
363,1931,3,193103,1473
364,1931,4,193104,2796
365,1931,5,193105,2214
366,1931,6,193106,3297
367,1931,7,193107,1879
368,1931,8,193108,2243
369,1931,9,193109,1415
370,1931,10,193110,146
371,1931,11,193111,79
372,1931,12,193112,950
373,1932,1,193201,10
374,1932,2,193202,1246
375,1932,3,193203,927
376,1932,4,193204,1358
377,1932,5,193205,2045
378,1932,6,193206,3677
379,1932,7,193207,2319
380,1932,8,193208,2631
381,1932,9,193209,1291
382,1932,10,193210,440
383,1932,11,193211,431
384,1932,12,193212,631
385,1933,1,193301,200
386,1933,2,193302,430
387,1933,3,193303,528
388,1933,4,193304,1201
389,1933,5,193305,2422
390,1933,6,193306,2966
391,1933,7,193307,1261
392,1933,8,193308,1244
